"","OPEID6","INSTNM","STATE","CONTROL","NOTWORKING","WORKING","MEAN_EARNINGS","MEDIAN_EARNINGS","PERCENT10_EARNINGS","PERCENT25_EARNINGS","PERCENT75_EARNINGS","PERCENT90_EARNINGS","MEDIAN_DEBT","NUM_DEBT","TUITION","DEFAULT2","YEAR"
"1",1002,"Alabama A & M University","AL",1,116,1139,37800,36600,8100,21500,50400,66700,6625,3025,NA,0.078,2007
"2",1052,"University of Alabama at Birmingham","AL",1,366,2636,47700,40800,10500,25200,59900,81900,6523,4917,NA,0.04,2007
"3",1055,"University of Alabama in Huntsville","AL",1,122,975,53400,49300,13200,30800,71500,92100,6725,2258,NA,0.037,2007
"4",1005,"Alabama State University","AL",1,210,1577,33300,30500,7500,17300,43200,59100,6396,3679,NA,0.11,2007
"5",1051,"The University of Alabama","AL",1,292,2754,53100,46700,14800,30300,66500,94500,9000,5969,NA,0.041,2007
"6",1007,"Central Alabama Community College","AL",1,113,590,31600,28100,5500,15900,43200,60900,3750,931,NA,0.153,2007
"7",1008,"Athens State University","AL",1,77,676,44000,41700,14100,28300,53700,75400,9166,1484,NA,0.025,2007
"8",8310,"Auburn University at Montgomery","AL",1,193,1400,40000,37200,10100,22600,52000,71500,5500,2357,NA,0.064,2007
"9",1009,"Auburn University","AL",1,348,3685,55300,48900,14900,32700,71100,96800,10374,5419,NA,0.018,2007
"10",1012,"Birmingham Southern College","AL",2,24,320,55400,47600,11400,26000,73400,105100,9375,414,NA,0.02,2007
"11",12182,"Chattahoochee Valley Community College","AL",1,108,640,31900,28600,7500,16300,41800,58100,3500,650,NA,0.162,2007
"12",10554,"Concordia College Alabama","AL",2,44,276,26700,22100,6800,13400,35800,49500,1125,19,NA,0,2007
"13",13039,"South University-Montgomery","AL",3,187,921,36500,31300,7900,18400,47400,67300,4000,8585,NA,0.056,2007
"14",1015,"Enterprise State Community College","AL",1,111,572,31900,28400,7200,15400,43700,58900,2625,432,NA,0.067,2007
"15",1060,"James H Faulkner State Community College","AL",1,120,698,32300,29500,5700,13800,43700,60400,2626,1457,NA,0.084,2007
"16",1003,"Faulkner University","AL",2,166,1158,42200,38600,9200,22700,56600,78500,9001,2327,NA,0.069,2007
"17",7871,"George C Wallace State Community College-Hanceville","AL",1,262,1180,32600,29400,6200,16100,44500,61100,3800,2224,NA,0.126,2007
"18",10193,"Herzing University-Birmingham","AL",3,70,469,40000,34900,6500,19100,57300,77100,6108,610,NA,0.112,2007
"19",1019,"Huntingdon College","AL",2,18,199,44400,40500,10100,25900,54600,76900,8125,487,NA,0.06,2007
"20",1020,"Jacksonville State University","AL",1,240,1725,40500,38900,9600,23900,51800,69300,5800,3891,NA,0.072,2007
"21",1022,"Jefferson State Community College","AL",1,208,1179,35400,32400,7300,17100,48200,64400,2665,1680,NA,0.074,2007
"22",1013,"John C Calhoun State Community College","AL",1,283,1608,34000,30300,6000,16400,46400,66200,2720,2697,NA,0.112,2007
"23",1023,"Judson College","AL",2,19,108,28700,28800,2600,10400,42800,54700,6625,185,NA,0.032,2007
"24",1024,"University of West Alabama","AL",1,85,633,40100,38300,9600,21900,51400,69200,4997.5,1278,NA,0.041,2007
"25",1028,"Miles College","AL",2,87,663,31200,30200,5400,14900,44100,56500,5391.5,1630,NA,0.167,2007
"26",1029,"University of Mobile","AL",2,97,644,39400,35900,6700,21400,51300,71500,11625,876,NA,0.024,2007
"27",1004,"University of Montevallo","AL",1,94,640,40100,38900,8600,24000,50000,66300,8722,1046,NA,0.058,2007
"28",5697,"Northwest-Shoals Community College","AL",1,235,1044,30400,27100,5000,12900,42300,58600,3500,1299,NA,0.139,2007
"29",1016,"University of North Alabama","AL",1,142,1211,39600,36200,9300,20900,51700,70000,6392,2276,NA,0.045,2007
"30",1031,"Northeast Alabama Community College","AL",1,109,557,31000,27800,6200,15500,43900,57200,2817.5,630,NA,0.105,2007
"31",1033,"Oakwood University","AL",2,79,480,37600,35400,6100,17600,51400,69100,9938,854,NA,0.057,2007
"32",1036,"Samford University","AL",2,91,641,53800,46100,9600,28400,65400,104300,11000,842,NA,0.007,2007
"33",1057,"University of South Alabama","AL",1,297,2368,45700,41300,10000,25500,58400,79900,6625,5119,NA,0.03,2007
"34",1041,"Spring Hill College","AL",2,44,321,50800,46900,12400,30700,64100,90800,14375,619,NA,0.027,2007
"35",1044,"Stillman College","AL",2,63,450,31900,27500,7100,16200,42500,57000,10625,634,NA,0.096,2007
"36",1046,"Talladega College","AL",2,23,234,33100,31200,5700,16000,46400,62100,6625,197,NA,0.179,2007
"37",1047,"Troy University","AL",1,313,2484,42800,39500,11100,24600,54400,75700,4959,9311,NA,0.053,2007
"38",1050,"Tuskegee University","AL",2,84,963,45500,41000,10500,25500,61600,83300,7500,1425,NA,0.056,2007
"39",11462,"University of Alaska Anchorage","AK",1,376,1551,42000,37100,6500,17800,56800,80100,5458.5,4072,NA,0.064,2007
"40",1063,"University of Alaska Fairbanks","AK",1,176,861,41700,37100,6400,19600,55000,82500,5250,1698,NA,0.07,2007
"41",1065,"University of Alaska Southeast","AK",1,36,189,38400,38300,8700,17400,53800,73900,5475.5,578,NA,0.071,2007
